,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
5524,Pinks,2.0,595.173396782,193266.754955,Other,198.391132261,No,974.170330863,No,Male,After_16:00,0.239850078477,0.707349123666,1.07620720984,1.34225622518,6.31787797203,1.36536623584,3257.0,43.5860826168,970.413616393,11682.5305414,116739.578523,Yes,949007.833534,31.1514625081,1885369.58729,41.5570045123,39567.4324919,50.0,30-45,1.0,1460.91088755,18.0,Foot_or_bicycle,Industry_or_other,980.243199412,0.0,Yes
3641,Whites,6.0,576.314892963,167698.043988,Foreign_Affairs,192.104964321,No,872.950080084,No,Male,By_16:00,0.232860246673,0.316819800762,1.1474433681,3.9367529517,5.57513168314,1.74590510316,7581.0,19.1115051741,946.75051606,10623.001833,111909.126399,Yes,762041.842318,30.7693112705,1794483.37435,28.1604509335,37106.4222811,40.0,Below_30,0.0,1403.04294535,16.0,Motorcycle_or_truck,Industry_or_other,927.344945767,0.0,Yes
549,Yellows,7.0,117.57623815,17404.4407527,Social,39.1920793834,No,444.080564914,Yes,Male,By_16:00,0.920094530564,0.994412554894,9.20127869584,1.27735303715,4.52821400948,8.96131674061,7713.0,75.5413471255,595.691149273,5632.18794769,69685.4213806,Yes,197207.548135,24.4067849024,710779.569464,95.4938169569,1585.21116578,70.0,30-45,3.0,895.329217689,3.0,Car,Services_or_Retail,629.598253703,1.0,No
5958,Yellows,10.0,448.796281918,77583.8447861,Environment,149.598760639,No,518.61288459,No,Female,After_16:00,0.169485247927,0.0701981126331,6.52059795335,6.28175683087,5.42792601511,3.73834672384,6400.0,28.9705881849,630.670551891,6447.46994968,79092.6011876,Yes,268959.324062,25.1131549569,796881.152409,36.4879709901,22539.3879454,90.0,30-45,4.0,1050.38952425,3.0,Public_or_other,Industry_or_other,861.849478184,2.0,No
1929,Yellows,1.0,568.890719703,91718.0209543,Healthcare,189.630239901,No,483.667694573,Yes,Male,By_16:00,0.95886271121,0.125049112132,8.69467780227,9.59955872037,9.07047580928,8.62954836804,7217.0,27.1532160463,672.711811997,6182.10056973,78363.7289629,Yes,233934.438774,25.9366885318,906285.789661,5.82448369823,36159.2581248,80.0,Below_30,2.0,1008.68638276,13.0,Public_or_other,Hightech,709.757965015,2.0,No
6567,Oranges,3.0,263.632787001,67266.8858448,Healthcare,87.8775956672,No,765.461154622,No,Male,By_16:00,0.573557037627,0.196922625881,0.879716805648,9.57564639626,9.84673225787,8.32761059748,6727.0,89.2348984722,825.025213536,9304.66197329,94306.475585,Yes,585930.779235,28.7232521407,1362773.52009,53.5003423458,7820.34941591,80.0,Below_30,1.0,1151.4953049,12.0,Motorcycle_or_truck,Industry_or_other,664.852994503,0.0,No
3136,Blues,7.0,447.731346996,92158.6844785,Environment,149.243782332,No,617.504347843,No,Male,After_16:00,0.345212876098,0.885435693432,4.03274955926,8.15535018919,2.98708587186,5.18457986182,5114.0,83.8796477765,634.798892012,7444.64126245,76658.1264932,Yes,381311.619605,25.1952156572,807235.320565,89.8334033089,22432.9503471,90.0,30-45,5.0,967.344246701,16.0,Motorcycle_or_truck,Student_or_Unemployed,668.549618212,0.0,No
9028,Yellows,9.0,913.240667068,120919.12067,Social,304.413555689,No,397.219895141,Yes,Female,After_16:00,0.241754835472,0.683398506837,7.76310073445,6.38474001549,6.39680036111,4.50250811642,5399.0,26.8244804116,589.307391882,5150.81373517,67831.5854344,Yes,157783.645096,24.2756543039,695579.461359,56.8009131821,92982.026443,70.0,45_and_up,1.0,873.017248,15.0,Foot_or_bicycle,Hightech,605.837211585,0.0,No
6404,Blues,6.0,147.74338199,29556.1031592,Education,49.2477939966,No,600.150803936,No,Female,By_16:00,0.40383766708,0.860612537945,8.01951518748,2.00482853223,0.103932209313,0.392109670211,8878.0,30.5702313082,653.63633511,7308.78070958,77940.1959467,Yes,360180.987465,25.5663125051,855762.664716,2.23929146305,2484.59300753,100.0,30-45,3.0,984.086161796,2.0,Motorcycle_or_truck,Student_or_Unemployed,671.596759606,0.0,No
6367,Yellows,10.0,682.927170578,88581.2493183,Financial,227.642390193,No,389.124579316,Yes,Female,After_16:00,0.669283343712,0.223497075029,4.82301167445,1.71865655575,0.011957611423,8.15057968721,4896.0,8.84813596494,576.92248839,5045.09076994,68101.6230286,Yes,151417.938228,24.0192108195,666744.879196,37.5347516499,52058.7002029,60.0,45_and_up,4.0,891.462395504,14.0,Motorcycle_or_truck,Hightech,666.639396043,0.0,No
