,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Avg_Residancy_Altitude,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social,Will_vote_only_large_party,Financial_agenda_matters
0,929.338910418,781.073140213,924.714426091,40.2013586851,0,0,0,0,0,1,0,0,1.0,1.0
1,379.548186454,556.695590366,768.25836959,62.9319427583,1,0,0,0,0,0,0,0,1.0,0.0
2,390.101442058,556.362901702,580.261538404,161.675046762,0,0,0,0,0,0,0,1,1.0,0.0
3,649.144204506,548.702220045,855.938948715,340.660039292,0,0,1,0,0,0,0,0,0.0,1.0
4,621.466779595,606.605800073,662.600630541,44.8748072636,1,0,0,0,0,0,0,0,1.0,0.0
5,809.861427291,556.685970165,903.407967004,105.016192879,0,0,0,0,0,1,0,0,1.0,1.0
6,531.729008361,643.184079334,774.128811633,82.7004731955,0,0,0,0,0,0,0,1,1.0,0.0
7,628.226533354,666.715150187,688.331566184,315.242997673,0,0,0,0,0,0,0,1,1.0,0.0
8,511.247275173,678.160202664,787.16251181,38.5777086671,0,0,0,0,1,0,0,0,1.0,0.0
9,404.33333337,699.401647264,856.138206129,86.8397416729,0,1,0,0,0,0,0,0,1.0,0.0
10,393.496935936,559.765373609,765.752768797,51.3212809538,0,0,0,0,0,0,0,1,1.0,0.0
11,971.439378278,969.632232562,991.139580987,89.6479052556,0,0,0,0,0,0,1,0,1.0,1.0
12,327.320244201,605.572698701,627.9248273,94.9096398213,0,0,1,0,0,0,0,0,1.0,0.0
13,385.081819617,300.00103566,317.885593861,404.232213474,0,0,1,0,0,0,0,0,0.0,0.0
14,376.181301816,553.774866959,611.795777586,19.11483789,0,0,1,0,0,0,0,0,1.0,0.0
15,408.294231167,722.950179983,868.961426727,118.791008219,0,1,0,0,0,0,0,0,1.0,0.0
16,442.700972718,625.064265976,658.458113791,74.3912628819,0,1,0,0,0,0,0,0,1.0,0.0
17,577.384196041,724.878107665,871.877478238,-20.3794484222,0,0,0,0,0,0,0,1,0.0,1.0
18,461.506075353,598.038536551,835.947600348,274.05883332,0,0,1,0,0,0,0,0,1.0,0.0
19,412.868969938,616.291697025,658.72697258,167.624416138,0,1,0,0,0,0,0,0,1.0,0.0
20,596.140055735,632.979641706,694.290010097,64.4501364819,1,0,0,0,0,0,0,0,1.0,0.0
21,427.935041591,748.42704577,862.861111107,44.0148687278,0,0,0,0,0,0,0,1,1.0,0.0
22,487.972587788,604.034907631,741.805632987,67.2192614765,0,0,1,0,0,0,0,0,1.0,0.0
23,404.099521764,710.021841551,867.286615016,246.783089437,0,0,0,0,0,0,0,1,1.0,0.0
24,381.169947731,561.406483705,768.501917343,26.5364818571,0,1,0,0,0,0,0,0,1.0,0.0
25,461.575697719,615.538206459,725.592324633,96.4281733166,0,1,0,0,0,0,0,0,1.0,0.0
26,423.458331242,580.936866775,655.86051353,273.738867036,0,0,0,0,0,0,0,1,1.0,0.0
