,Vote,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Avg_Residancy_Altitude,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social,Will_vote_only_large_party,Financial_agenda_matters
0,Pinks,0.688225338161,0.687757186666,0.688560088702,0.580131592745,0,0,0,0,0,0,1,0,1.0,1.0
1,Whites,0.677262292388,0.685288132681,0.683000016013,0.578212628876,0,0,0,1,0,0,0,0,1.0,1.0
2,Yellows,0.609746907303,0.638947710562,0.644165485203,0.514478991231,0,0,0,0,0,0,0,1,1.0,0.0
3,Yellows,0.625241065857,0.64465520027,0.67565782487,0.564170181816,0,1,0,0,0,0,0,0,1.0,0.0
4,Yellows,0.618274149499,0.651109988187,0.656188458675,0.577446956677,0,0,0,0,1,0,0,0,1.0,0.0
5,Oranges,0.664132752879,0.671523689723,0.649632090425,0.539463140452,0,0,0,0,1,0,0,0,1.0,0.0
6,Blues,0.642673850118,0.645307813099,0.650188353783,0.564044197817,0,1,0,0,0,0,0,0,1.0,0.0
7,Yellows,0.598612555412,0.637870005733,0.640304960084,0.607937679252,0,0,0,0,0,0,0,1,1.0,0.0
8,Blues,0.639826376895,0.648232765448,0.650644568646,0.520175777563,1,0,0,0,0,0,0,0,1.0,0.0
9,Yellows,0.596556907953,0.635745472209,0.649901292292,0.588606445903,0,0,1,0,0,0,0,0,1.0,0.0
10,Greens,0.690487085449,0.690481178287,0.689186442632,0.571784645901,0,0,0,0,0,0,1,0,1.0,1.0
11,Yellows,0.632923737526,0.64414957917,0.659841397639,0.610704598157,0,1,0,0,0,0,0,0,1.0,0.0
12,Yellows,0.603526208066,0.637168432638,0.641430420838,0.608067780333,0,0,0,0,1,0,0,0,1.0,0.0
13,Whites,0.671703034531,0.684188116419,0.684053346897,0.546745965506,0,0,0,0,0,1,0,0,1.0,1.0
14,Oranges,0.613027044136,0.64193413815,0.668639560424,0.615958129793,0,1,0,0,0,0,0,0,1.0,0.0
15,Greys,0.64754036679,0.637068250262,0.642015561577,0.505183347861,0,0,1,0,0,0,0,0,1.0,0.0
16,Blues,0.603914113477,0.636059901889,0.6420083299,0.518308120817,0,1,0,0,0,0,0,0,1.0,0.0
17,Reds,0.638236769173,0.644865242828,0.653830439683,0.586380632725,0,0,0,0,0,0,0,1,1.0,0.0
18,Reds,0.588873978287,0.653051019352,0.67742712378,0.612920887817,0,0,0,0,0,0,0,1,1.0,0.0
19,Reds,0.635908768939,0.649205930079,0.654923411264,0.539945299754,0,0,0,0,0,0,0,1,1.0,0.0
20,Reds,0.638036733759,0.653922639188,0.650132527477,0.550183970381,1,0,0,0,0,0,0,0,1.0,0.0
21,Pinks,0.673741109678,0.640096375662,0.683765157622,0.550181628883,0,0,0,0,0,1,0,0,1.0,1.0
22,Greys,0.643112173505,0.635790172858,0.649341678559,0.597119076697,0,1,0,0,0,0,0,0,1.0,0.0
23,Blues,0.642000951092,0.648997801148,0.653140224061,0.578280944624,0,0,1,0,0,0,0,0,1.0,0.0
24,Oranges,0.663743704004,0.671616181598,0.653574631033,0.520461354599,0,0,0,0,1,0,0,0,1.0,0.0
25,Blues,0.632142790622,0.644814934354,0.644330857378,0.556185943062,0,1,0,0,0,0,0,0,1.0,0.0
26,Greys,0.613494173572,0.641392040858,0.660327991991,0.575162826812,0,1,0,0,0,0,0,0,1.0,0.0
27,Pinks,0.67572290097,0.668467431729,0.676532040494,0.528944451222,0,0,0,0,0,0,1,0,1.0,1.0
28,Yellows,0.607624516651,0.636683021503,0.641604874939,0.534426146284,0,1,0,0,0,0,0,0,1.0,0.0
29,Whites,0.50180146418,0.507767276658,0.587704416608,0.571605713344,0,0,0,0,0,1,0,0,1.0,1.0
30,Reds,0.64063113859,0.64815222081,0.655840404587,0.529476814213,0,1,0,0,0,0,0,0,1.0,0.0
31,Pinks,0.634658664438,0.590475642455,0.678318605657,0.572377371448,0,0,0,0,0,0,1,0,1.0,1.0
32,Greens,0.669939855862,0.68528344263,0.653703748768,0.572436219168,0,0,0,1,0,0,0,0,1.0,1.0
33,Yellows,0.601632284902,0.64174614375,0.64156629456,0.534372405818,0,1,0,0,0,0,0,0,1.0,0.0
34,Yellows,0.597089055436,0.647916074595,0.652886921236,0.507936936934,0,0,0,0,1,0,0,0,1.0,0.0
35,Yellows,0.620981068578,0.650193103128,0.676313547758,0.56619405897,0,0,0,0,0,0,0,1,1.0,0.0
36,Oranges,0.599655236401,0.628268131991,0.658441743721,0.542414028497,0,0,0,0,1,0,0,0,1.0,0.0
37,Whites,0.680462402872,0.689198750982,0.688621315903,0.580931969577,0,0,0,0,0,1,0,0,1.0,1.0
38,Blues,0.606992461771,0.636709057219,0.641098103319,0.597338092021,0,0,1,0,0,0,0,0,1.0,0.0
39,Reds,0.606118808432,0.659348149376,0.675562340132,0.520396761042,0,0,0,0,0,0,0,1,1.0,0.0
40,Yellows,0.603726355897,0.637590890995,0.635286855938,0.580401652026,0,1,0,0,0,0,0,0,1.0,0.0
41,Reds,0.594636179594,0.653293431611,0.671352345521,0.511674707198,1,0,0,0,0,0,0,0,1.0,0.0
42,Greys,0.620979585422,0.642117728969,0.662119831529,0.536638948578,0,0,1,0,0,0,0,0,1.0,0.0
43,Yellows,0.617814923361,0.642837650686,0.662904941711,0.513768017805,0,0,1,0,0,0,0,0,1.0,0.0
44,Reds,0.640720761383,0.649572459242,0.651889746493,0.579969839384,0,0,0,0,1,0,0,0,1.0,0.0
45,Greys,0.613379682528,0.645426586309,0.65945128466,0.536799297364,0,0,1,0,0,0,0,0,1.0,0.0
46,Reds,0.596417277356,0.65790623116,0.670223708684,0.611535381153,0,0,0,0,0,0,0,1,1.0,0.0
47,Whites,0.383100944254,0.666016010372,0.646537027824,0.514950982834,0,0,0,0,0,1,0,0,1.0,1.0
48,Yellows,0.624327595611,0.636247059308,0.675174641689,0.523963844209,0,1,0,0,0,0,0,0,1.0,0.0
49,Blues,0.641738901387,0.653210436108,0.651283220519,0.555493221221,0,0,0,0,0,0,0,1,1.0,0.0
50,Blues,0.603242567104,0.630324581103,0.636611507685,0.51015831038,1,0,0,0,0,0,0,0,1.0,0.0
51,Oranges,0.614860840821,0.634405215121,0.663877692943,0.579619808566,0,0,0,0,1,0,0,0,1.0,0.0
52,Oranges,0.599332436342,0.632467603438,0.657839049619,0.525287590586,0,0,0,0,1,0,0,0,1.0,0.0
53,Oranges,0.606421368377,0.632139882967,0.65725292287,0.576766467516,0,0,0,0,0,0,0,1,1.0,0.0
54,Yellows,0.63609376752,0.643251230692,0.67380422897,0.54948092064,0,1,0,0,0,0,0,0,1.0,0.0
55,Whites,0.584551072633,0.689021103468,0.633904569601,0.549248323136,0,0,0,1,0,0,0,0,1.0,1.0
56,Pinks,0.667604718283,0.665228702778,0.666047379659,0.595740894169,0,0,0,0,0,0,1,0,1.0,1.0
57,Reds,0.635712632656,0.649949407836,0.651943039981,0.600048974449,0,1,0,0,0,0,0,0,1.0,0.0
58,Blues,0.637807245964,0.652274933227,0.643958388046,0.567998484419,0,0,1,0,0,0,0,0,1.0,0.0
59,Blues,0.637900105629,0.647152201648,0.648785823199,0.543682356093,0,0,0,0,0,0,0,1,1.0,0.0
60,Yellows,0.591022136941,0.631068175367,0.639672996634,0.532496766432,1,0,0,0,0,0,0,0,1.0,0.0
61,Blues,0.63498601588,0.645514352091,0.650415821286,0.557429506117,0,1,0,0,0,0,0,0,1.0,0.0
62,Whites,0.443686047053,0.471305509686,0.53627964827,0.599376327398,0,0,0,0,0,1,0,0,1.0,1.0
